"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"MIA","LGA","1402","1646",
2017-01-01,"LGA","ORD","0855","1014",
2017-01-01,"LGA","ORD","1026","1144",
2017-01-01,"LGA","ORD","1400","1522",
2017-01-01,"ORD","LGA","1857","2143",
2017-01-01,"LGA","ORD","1209","1332",
2017-01-01,"LGA","ORD","1549","1718",
2017-01-01,"LGA","ORD","1654","1841",
2017-01-01,"ORD","LGA","2033","2322",
2017-01-01,"LGA","ORD","1855","2039",
2017-01-01,"LGA","ORD","1308","1448",
2017-01-01,"ORD","LGA","0900","1147",
2017-01-01,"ORD","LGA","1455","1743",
2017-01-01,"ORD","LGA","1639","1921",
2017-01-01,"ORD","LGA","1324","1612",
2017-01-01,"MIA","LGA","2125","0003",
2017-01-01,"ORD","LGA","1001","1243",
2017-01-01,"JFK","LAX","1158","1611",
2017-01-01,"ORD","LGA","0823","1104",
2017-01-01,"ORD","LGA","0730","1019",
2017-01-01,"ATL","LGA","1214","1411",
2017-01-01,"LGA","MIA","1223","1528",
2017-01-01,"PHX","JFK","2322","0545",
2017-01-01,"JFK","SJU","0811","1230",
2017-01-01,"SJU","JFK","1400","1701",
2017-01-01,"LGA","MIA","1709","2045",
2017-01-01,"MIA","LGA","1945","2232",
2017-01-01,"LGA","MIA","1954","2244",
2017-01-01,"LGA","MIA","0544","0847",
2017-01-01,"MIA","JFK","2314","0156",
2017-01-01,"LGA","MIA","0754","1059",
2017-01-01,"JFK","PHX","","",
2017-01-01,"SJU","JFK","0851","1204",
2017-01-01,"JFK","PHX","1307","1647",
2017-01-01,"JFK","CLT","0627","0836",
2017-01-01,"CLT","SYR","1640","1829",
2017-01-01,"LGA","CLT","1256","1505",
2017-01-01,"CLT","LGA","1701","1831",
2017-01-01,"PHL","LGA","1548","1633",
2017-01-01,"CLT","LGA","1142","1338",
2017-01-01,"CLT","LGA","1304","1432",
2017-01-01,"CLT","LGA","1428","1559",
2017-01-01,"PHL","LGA","2029","2122",
