"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"SAT","CLT","0819","1149",
2017-01-01,"PHX","AUS","1025","1351",
2017-01-01,"LAX","PHL","1111","1906",
2017-01-01,"CLT","PHL","1124","1316",
2017-01-01,"PIT","CLT","0834","1022",
2017-01-01,"PBI","PHL","1403","1633",
2017-01-01,"ATL","CLT","0853","1054",
2017-01-01,"CLT","PBI","1116","1259",
2017-01-01,"BWI","CLT","1527","1644",
2017-01-01,"CLT","IAH","1810","1954",
2017-01-01,"LAS","MIA","2158","0528",
2017-01-01,"PHL","BOS","2239","2346",
2017-01-01,"FLL","PHL","1704","1935",
2017-01-01,"PHL","SEA","2047","2346",
2017-01-01,"CLT","PIT","0951","1105",
2017-01-01,"MSP","CLT","0457","0804",
2017-01-01,"ATL","LGA","1700","1851",
2017-01-01,"LGA","ATL","1339","1615",
2017-01-01,"DTW","MIA","0518","0817",
2017-01-01,"PHL","PBI","1851","2121",
2017-01-01,"DFW","MCO","1100","1438",
2017-01-01,"PHL","DFW","0702","0945",
2017-01-01,"DFW","MCO","1848","2211",
2017-01-01,"SFO","DFW","1137","1725",
2017-01-01,"PHL","RDU","1127","1249",
2017-01-01,"RDU","PHL","1334","1451",
2017-01-01,"ATL","CLT","1229","1350",
2017-01-01,"CLT","STL","1440","1528",
2017-01-01,"MIA","ATL","0936","1147",
2017-01-01,"DFW","ATL","2028","2326",
2017-01-01,"SAN","DFW","1425","1916",
2017-01-01,"CLT","BDL","2021","2220",
2017-01-01,"SEA","CLT","1626","0025",
2017-01-01,"DFW","LAS","1923","2011",
2017-01-01,"PHL","PBI","2045","2331",
2017-01-01,"CLT","DFW","1133","1318",
2017-01-01,"PHL","CLT","0813","1010",
2017-01-01,"RSW","PHL","1151","1412",
2017-01-01,"DEN","PHL","1114","1645",
2017-01-01,"BUF","CLT","1217","1359",
2017-01-01,"CLT","BDL","1443","1624",
2017-01-01,"CLT","MIA","1816","2108",
2017-01-01,"DTW","CLT","1521","1716",
2017-01-01,"CLT","MIA","1955","2204",
2017-01-01,"SFO","CLT","1108","1909",
2017-01-01,"CLT","BDL","2220","0002",
2017-01-01,"LAS","LAX","0848","1010",
2017-01-01,"STL","CLT","0718","1009",
2017-01-01,"CLT","FLL","0942","1136",
2017-01-01,"SEA","CLT","0007","0746",
2017-01-01,"PHL","SFO","1802","2129",
2017-01-01,"DCA","FLL","1400","1636",
2017-01-01,"FLL","DCA","1731","1959",
2017-01-01,"ONT","PHX","1237","1448",
2017-01-01,"PHX","PHL","1554","2152",
2017-01-01,"MIA","SAN","1958","2239",
2017-01-01,"ORD","MIA","2010","0014",
2017-01-01,"DFW","GUC","1244","1400",
2017-01-01,"BWI","DFW","1509","1744",
